order_id,customer_id,age,account_age_days,customer_segment,country,platform,device_type,payment_method,product_category,avg_order_value_usd,refund_amount_requested_usd,is_high_value_item,discount_used,order_date,return_date,days_to_return,return_reason,total_orders_lifetime,total_returns_lifetime,return_rate_pct,item_returned_opened,return_packaging_intact,photo_evidence_provided,tracking_number_valid,shipping_carrier,address_change_before_delivery,refund_to_different_account,multiple_accounts_flag,customer_support_contacts,previous_dispute_count,wishlist_to_cart_time_hrs,review_left_after_return,abuse_type
ORD2011189,CUST462668,19,2128,Silver,GB,Mobile App,MacBook,Buy Now Pay Later,Clothing,108.14,95.77,0,0,2023-07-07,2023-07-30,23,Not As Described,9,0,0.0,1,1,1,1,UPS,0,0,0,0,0,2.3,0,Legitimate
ORD2042898,CUST146029,54,277,Platinum,AU,Mobile App,MacBook,Credit Card,Home & Kitchen,132.93,130.62,0,0,2023-07-29,2023-07-30,1,Arrived Late,71,2,2.8,1,1,1,1,OnTrac,0,0,0,1,1,3.7,0,Legitimate
ORD2050965,CUST264457,67,20,Bronze,US,Mobile App,Android,Gift Card,Home & Kitchen,214.25,172.67,1,0,2023-07-28,2023-07-30,2,Arrived Late,16,2,12.5,0,1,1,1,USPS,0,0,0,0,0,5.1,0,Legitimate
ORD2018511,CUST664346,55,1509,Bronze,US,Mobile App,iPhone,PayPal,Home & Kitchen,19.72,17.65,0,0,2023-07-11,2023-07-30,19,Gift Duplicate,66,0,0.0,0,1,0,1,USPS,0,0,0,0,0,39.0,0,Legitimate
ORD2055476,CUST948654,56,1645,Bronze,AU,Mobile App,MacBook,Gift Card,Clothing,164.41,155.23,0,0,2023-07-23,2023-07-30,7,Item Not Received,31,3,9.7,1,0,1,1,USPS,1,0,0,0,1,34.9,0,Legitimate
ORD2023168,CUST132096,30,1410,Silver,GB,Mobile App,Windows PC,PayPal,Home & Kitchen,109.95,104.64,0,1,2023-07-02,2023-07-30,28,Found Better Price,84,43,51.2,1,1,0,1,OnTrac,0,0,0,6,5,10.3,0,Policy Abuser
ORD2010042,CUST841787,39,515,Silver,FR,Mobile App,Windows PC,Credit Card,Clothing,258.22,248.44,1,1,2023-07-28,2023-07-31,3,Item Not Received,26,10,38.5,0,0,1,0,UPS,1,0,0,3,3,0.7,0,Fraudulent Return
ORD2021851,CUST893969,65,2258,Silver,AU,Web Browser,Windows PC,Debit Card,Clothing,319.52,307.5,1,1,2023-07-30,2023-07-31,1,Quality Issue,10,6,60.0,0,0,0,0,DHL,0,1,1,2,1,4.1,0,Fraudulent Return
ORD2049840,CUST503771,48,37,Gold,US,Web Browser,Windows PC,Debit Card,Tools,154.97,159.94,0,0,2023-07-29,2023-07-31,2,Item Not Received,22,9,40.9,1,1,0,0,OnTrac,1,1,0,3,3,3.0,0,Fraudulent Return
ORD2010383,CUST648125,27,2011,Platinum,US,Mobile App,iPad,Buy Now Pay Later,Electronics,145.78,145.38,0,0,2023-07-28,2023-07-31,3,Changed Mind,41,23,56.1,1,1,1,0,DHL,0,0,1,5,3,5.0,0,Fraudulent Return
ORD2026917,CUST337451,32,2237,Silver,US,Web Browser,iPad,Buy Now Pay Later,Clothing,738.35,718.2,1,0,2023-07-29,2023-07-31,2,Item Not Received,22,12,54.5,0,0,1,1,FedEx,0,0,0,4,2,0.6,0,Fraudulent Return
ORD2020415,CUST185849,20,2397,Silver,DE,Mobile App,Windows PC,Debit Card,Beauty,97.26,88.75,0,0,2023-07-08,2023-07-31,23,Defective/Broken,75,46,61.3,0,0,0,1,FedEx,0,0,0,3,0,0.3,0,Policy Abuser
ORD2038540,CUST380672,33,2086,Silver,CA,Web Browser,Android,Credit Card,Jewelry,43.11,41.16,0,0,2023-07-15,2023-07-31,16,Defective/Broken,53,32,60.4,0,0,0,1,UPS,1,0,1,1,5,28.5,0,Policy Abuser
ORD2047248,CUST478607,66,810,Gold,FR,Web Browser,iPad,Debit Card,Home & Kitchen,169.07,153.48,0,0,2023-07-12,2023-07-31,19,Quality Issue,52,33,63.5,1,0,0,1,DHL,0,0,1,4,5,60.5,0,Policy Abuser
ORD2022961,CUST252796,37,758,Silver,DE,Mobile App,iPhone,Buy Now Pay Later,Home & Kitchen,99.97,95.8,0,0,2023-07-21,2023-07-31,10,Found Better Price,109,87,79.8,0,0,0,1,DHL,0,0,1,2,4,28.8,0,Policy Abuser
ORD2024639,CUST985802,51,1456,Platinum,DE,Mobile App,MacBook,Crypto,Jewelry,256.46,241.4,1,0,2023-06-18,2023-07-31,43,Not As Described,28,11,39.3,1,1,1,1,OnTrac,0,0,0,2,4,1.9,0,Wardrobing
ORD2056475,CUST538987,62,34,Silver,IN,Tablet App,MacBook,Buy Now Pay Later,Clothing,367.79,341.12,1,0,2023-07-04,2023-07-31,27,Wrong Item Sent,20,9,45.0,1,1,0,1,UPS,0,0,0,6,2,3.4,0,Wardrobing
ORD2016036,CUST332808,49,370,New,BR,Web Browser,Android,Debit Card,Clothing,96.73,89.39,0,1,2023-06-28,2023-07-31,33,Gift Duplicate,54,19,35.2,1,1,0,1,DHL,0,0,0,4,4,4.7,0,Wardrobing
ORD2043976,CUST596126,33,1,Silver,IN,Tablet App,MacBook,Buy Now Pay Later,Sports,98.62,95.24,0,0,2023-06-25,2023-07-31,36,Found Better Price,10,5,50.0,1,1,0,1,USPS,0,0,0,1,3,4.3,0,Wardrobing
ORD2040404,CUST995087,33,1802,Silver,US,Web Browser,Android,Credit Card,Shoes,272.38,257.55,1,0,2023-06-22,2023-07-31,39,Changed Mind,44,16,36.4,1,1,0,1,USPS,0,0,0,4,0,2.3,0,Wardrobing
